sku,qty,est_cost,supplier,day_generated
FANTA ORANGE PET 2LTS,70,8595.024699176696,COCA COLA BEVERAGES KENYA LTD,7
COKE ZERO SUGAR 300ML,69,2208.0,COCA COLA BEVERAGES KENYA LTD,7
COKE ZERO SUGAR 300ML EMPTY BOTTLE,69,828.0,COCA COLA BEVERAGES KENYA LTD,7
BROOKSIDE 500ML SWEET LALA BOTTLE,69,5244.019375219375,BROOKSIDE DAIRY LIMITED,7
FANTA BLACKCURRANT PET 500ML,69,3652.7697110594486,COCA COLA BEVERAGES KENYA LTD,7
COKE ZERO 2L PET,69,9139.965683646113,COCA COLA BEVERAGES KENYA LTD,7
AQUACLEAR 500ML MINERAL WATER,68,1701.5760363086235,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,7
DASANI 1L MINERAL WATER,68,3141.3862979258333,COCA COLA BEVERAGES KENYA LTD,7
ILARA 500ML TNC PLAIN CUP,67,6295.393931034484,BROOKSIDE DAIRY LIMITED,7
KERINGET 1LT SPARKLING MINERAL WATER,67,5645.495100458232,COCA COLA BEVERAGES KENYA LTD,7
SUNLIGHT 175G PURE SOAP YELLOW,66,3761.51991991992,UNILEVER KENYA LIMITED,7
