sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
SCHWEPPES TONIC WATER 500ML PET,10,607.0800336983993,COCA COLA BEVERAGES KENYA LTD,2,4,7
WHITE CAP 500ML LAGER BEER,8,1529.6000000000001,KENYA BREWERIES LTD,2,4,7
NESTLE 41.5G KITKAT 4 FINGER MILK,8,1069.2869095816466,GLACIER PRODUCTS LTD 2ND,2,4,7
AQUAMIST 500ML SPARKLING WATER,11,606.29530170778,AQUAMIST LIMITED,2,4,7
COCA COLA 300ML EMPTY BOTTLE,8,96.0,COCA COLA BEVERAGES KENYA LTD,2,4,7
BIO 150ML VANILLA YOGHURT,9,837.114162768943,BIO FOOD PRODUCTS LTD,2,4,7
SCHWEPPES SODA WATER 500ML PET,7,423.75434400281404,COCA COLA BEVERAGES KENYA LTD,2,4,7
ISINYA 6S EGGS,10,1001.5848036788117,ISINYA FEEDS LIMITED,2,4,7
KRACKLES POTATO CRISP BBQ30G,7,305.5998452012384,PROPACK KENYA LTD,2,4,7
OLA 40G CHEESE CRUNCH TORTILA CHIPS,6,309.2197705207414,PROPACK KENYA LTD,2,4,7
GUINNESS 500ML CAN,5,914.7652332393145,KENYA BREWERIES LTD,2,4,7
KRACKLES BANG BANG CHILLI 30G,6,264.47636363636366,PROPACK KENYA LTD,2,4,7
BALOZI 500ML CAN,6,986.5736151674063,KENYA BREWERIES LTD,2,4,7
TUSKER LITE 500ML CAN,6,1241.1423004846527,KENYA BREWERIES LTD,2,4,7
KRACKLES CHEESE & ONION 30G,6,265.96298834818367,PROPACK KENYA LTD,2,4,7
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,5,257.8615702479339,PROPACK KENYA LTD,2,4,7
FANTA ORANGE PET 350ML,5,194.73151116951382,COCA COLA BEVERAGES KENYA LTD,2,4,7
HIGHLANDS 500ML MINERAL WATER,5,100.00169887449566,HIGHLANDS DRINKS LIMITED,2,4,7
KABARNET 300ML MINERAL WATER,5,76.14500258933195,KHETIA DRAPERS LTD,2,4,7
BIO 150ML NATURAL YOGHURT,5,461.5571428571429,BIO FOOD PRODUCTS LTD,2,4,7
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,22,899.7897308822681,BROOKSIDE DAIRY LIMITED,2,5,8
AJAB 2KG HOME BAKING FLOUR,11,1405.171105165672,GRAIN INDUSTRIES LIMITED,2,5,8
ILARA  POUCH FRESH MILK 1LTR,7,655.4357107065309,BROOKSIDE DAIRY LIMITED,2,5,8
PEMBE 2KG MAIZE MEAL,8,940.8315506423664,PEMBE FLOUR MILLS,2,5,8
NATURES 800G WHITE BREAD,6,624.0097693351426,DPL FESTIVE  LIMITED,2,5,8
FESTIVE 600G FAMILY BRWN BREAD,6,480.0011881188119,DPL FESTIVE  LIMITED,2,5,8
BIO 2L SEMI SKIMMED FRESH MILK,5,1222.447195154069,BIO FOOD PRODUCTS LTD,2,5,8
FESTIVE 800G SUPREME WHOLE MEAL,5,520.0,DPL FESTIVE  LIMITED,2,5,8
BROOKSIDE 200ML  WHOLE MILK TCA,4,102.40191904047977,BROOKSIDE DAIRY LIMITED,2,5,8
QUENCHER 1LT DRINKING WATER,15,578.2027924010072,EXCEL CHEMICALS LTD,2,5,8
DUNHILL 20S SWITCH,13,4888.0,NOBLE OUTLOOK LIMITED,2,5,8
EMBASSY BY DUNHILL BLUE 20S,13,4784.013160013805,NOBLE OUTLOOK LIMITED,2,5,8
COKE 330ML CAN,8,624.3505032563648,COCA COLA BEVERAGES KENYA LTD,2,5,8
SCHWEPPES TONIC WATER 500ML PET,11,667.7880370682393,COCA COLA BEVERAGES KENYA LTD,2,5,8
WHITE CAP 500ML LAGER BEER,9,1720.8000000000002,KENYA BREWERIES LTD,2,5,8
NESTLE 41.5G KITKAT 4 FINGER MILK,9,1202.9477732793523,GLACIER PRODUCTS LTD 2ND,2,5,8
AQUAMIST 500ML SPARKLING WATER,7,385.8242829049509,AQUAMIST LIMITED,2,5,8
SCHWEPPES SODA WATER 500ML PET,6,363.21800914526915,COCA COLA BEVERAGES KENYA LTD,2,5,8
MAYERS 1L SPARKLING WATER PLASTIC,6,461.92055459272103,MALACHITE LIMITED,2,5,8
ISINYA 6S EGGS,9,901.4263233109305,ISINYA FEEDS LIMITED,2,5,8
KRACKLES POTATO CRISP BBQ30G,8,349.25696594427245,PROPACK KENYA LTD,2,5,8
DL 37G FILLED CHOCOLATES MINT CHOC,5,278.72543676871294,GLACIER PRODUCTS LTD 2ND,2,5,8
SPRITE PET 350ML,6,233.4256873265495,COCA COLA BEVERAGES KENYA LTD,2,5,8
OLA 40G CHEESE CRUNCH TORTILA CHIPS,7,360.756398940865,PROPACK KENYA LTD,2,5,8
GUINNESS 500ML CAN,7,1280.6713265350402,KENYA BREWERIES LTD,2,5,8
KRACKLES BANG BANG CHILLI 30G,8,352.63515151515156,PROPACK KENYA LTD,2,5,8
BALOZI 500ML CAN,7,1151.0025510286407,KENYA BREWERIES LTD,2,5,8
TUSKER LITE 500ML CAN,7,1447.9993505654281,KENYA BREWERIES LTD,2,5,8
KRACKLES CHEESE & ONION 30G,6,265.96298834818367,PROPACK KENYA LTD,2,5,8
ISINYA 30S EGGS,6,2598.1583148558757,ISINYA FEEDS LIMITED,2,5,8
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,6,309.4338842975207,PROPACK KENYA LTD,2,5,8
COKE PET 2LTS,5,658.4801149976043,COCA COLA BEVERAGES KENYA LTD,2,5,8
FANTA ORANGE PET 350ML,5,194.73151116951382,COCA COLA BEVERAGES KENYA LTD,2,5,8
URBAN STIX 35G BARBEQUE SNACKS,4,112.0,NORDA INDUSTRIES LTD.,2,5,8
HIGHLANDS 500ML MINERAL WATER,6,120.00203864939479,HIGHLANDS DRINKS LIMITED,2,5,8
KERINGET 1LT MINERAL WATER,5,347.4672754946728,COCA COLA BEVERAGES KENYA LTD,2,5,8
VELVEX 100S WHITE SERVIETTES,4,371.8252681140466,CHANDARIA INDUSTRIES  LTD,2,5,8
KABARNET 300ML MINERAL WATER,6,91.37400310719835,KHETIA DRAPERS LTD,2,5,8
BIO 150ML NATURAL YOGHURT,4,369.2457142857143,BIO FOOD PRODUCTS LTD,2,5,8
TUZO 500ML WHOLE MILK (FINO PACK) 180DAYS,28,1145.186930213796,BROOKSIDE DAIRY LIMITED,2,6,9
AJAB 2KG HOME BAKING FLOUR,14,1788.3995883926734,GRAIN INDUSTRIES LIMITED,2,6,9
ILARA  POUCH FRESH MILK 1LTR,10,936.3367295807585,BROOKSIDE DAIRY LIMITED,2,6,9
PEMBE 2KG MAIZE MEAL,10,1176.039438302958,PEMBE FLOUR MILLS,2,6,9
FESTIVE 400G FINEST SUPER SEEDED BREAD,4,416.00086021505376,DPL FESTIVE  LIMITED,2,6,9
BROOKSIDE 200ML  WHOLE MILK TCA,4,102.40191904047977,BROOKSIDE DAIRY LIMITED,2,6,9
RINSUN 5LT SUNFLOWER OIL,2,2543.944234334446,KAPA OIL REFINERIES LTD,2,6,9
