sku,qty,est_cost,supplier,day_generated,arrival_day
BIO 150ML VANILLA YOGHURT,9,837.114162768943,BIO FOOD PRODUCTS LTD,3,6
SPRITE PET 350ML,11,427.9470934320075,COCA COLA BEVERAGES KENYA LTD,3,6
SCHWEPPES SODA WATER 500ML PET,8,484.29067886035887,COCA COLA BEVERAGES KENYA LTD,3,6
GUINNESS 500ML CAN,10,1829.530466478629,KENYA BREWERIES LTD,3,6
KRACKLES POTATO CRISP BBQ30G,12,523.8854489164087,PROPACK KENYA LTD,3,6
NESTLE 41.5G KITKAT 4 FINGER MILK,10,1336.6086369770583,GLACIER PRODUCTS LTD 2ND,3,6
HIGHLANDS 500ML MINERAL WATER,13,260.0044170736887,HIGHLANDS DRINKS LIMITED,3,6
TUSKER LITE 500ML CAN,10,2068.5705008077543,KENYA BREWERIES LTD,3,6
ILARA 500ML MAZIWA LALA,9,648.0,BROOKSIDE DAIRY LIMITED,3,6
KRACKLES CHEESE & ONION 30G,8,354.61731779757827,PROPACK KENYA LTD,3,6
OLA 40G CHEESE CRUNCH TORTILA CHIPS,7,360.756398940865,PROPACK KENYA LTD,3,6
URBAN STIX 35G BARBEQUE SNACKS,7,196.0,NORDA INDUSTRIES LTD.,3,6
SPRITE PET 500ML,7,370.1213746039483,COCA COLA BEVERAGES KENYA LTD,3,6
KABARNET 300ML MINERAL WATER,8,121.83200414293113,KHETIA DRAPERS LTD,3,6
WRIGLEYS JUICY FRUIT 10S CLASSIC,6,127.99875679875682,RADBONE CLARK LIMITED MARS,3,6
ISINYA 15S EGGS,6,1489.0152066281698,ISINYA FEEDS LIMITED,3,6
BIO 150ML STRAWBERRY YOGHURT,6,567.4637234969503,BIO FOOD PRODUCTS LTD,3,6
VELVEX 100S WHITE SERVIETTES,5,464.78158514255824,CHANDARIA INDUSTRIES  LTD,3,6
KNORR 51G 6S CHICKEN CUBES,5,376.9761554312629,UNILEVER KENYA LIMITED,3,6
OREO 55.2G ORIGINAL COOKIES,4,219.8848941514173,HASBAH KENYA LTD CADBURY,3,6
TUZO 450ML ESL WHOLE MILK 30DAYS,24,1065.5965001822824,BROOKSIDE DAIRY LIMITED,3,6
KRACKLES PERFECTLY SALTED 30G,11,363.496115942029,PROPACK KENYA LTD,3,6
GOLD 500ML CROWN TFA 20,23,6770.762165377751,NEW KENYA COOP CREAMERIES  LTD,3,6
CHANDARANA FOODPLUS CARRIER BAG GREEN/WHITE,26,832.0201077199282,Unknown,3,6
TWIX TWIN BAR 50G,13,1789.5951674145667,RADBONE CLARK LIMITED MARS,3,6
KRACKLES TANGY TOMATO 30G,12,1038.6757570176112,PROPACK KENYA LTD,3,6
KARA 65ML COCONUT  MILK CREAM,12,697.3210537588349,PORTCROSS LTD  PC.,3,6
SNICKERS SINGLE BAR 50G,9,1202.9477732793523,RADBONE CLARK LIMITED MARS,3,6
TUZO 500ML FRESH MILK (POUCH),81,3823.20419241096,BROOKSIDE DAIRY LIMITED,4,7
BIO 2L WHOLE FRESH MILK,42,10697.289079229122,BIO FOOD PRODUCTS LTD,4,7
BROOKSIDE 500ML LACTOSE FREE UHT MILK FINO,30,1814.9856275950178,BROOKSIDE DAIRY LIMITED,4,7
DAIMA 500ML WHOLE ESL POUCH,31,1213.8909683150725,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,4,7
DAIMA 450ML ESL MAZIWA BORA,29,1038.2377566349526,DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,4,7
EXE 2KG ALL PURPOSE FLOUR,26,3330.387424616906,UNGA LTD,4,7
BIO 1L FRESH WHOLE MILK,13,1777.1727284312478,BIO FOOD PRODUCTS LTD,4,7
JOGOO 2KG MAIZE MEAL,14,1624.0729538374399,UNGA LTD,4,7
PEMBE 2KG MAIZE MEAL,11,1293.643382133254,PEMBE FLOUR MILLS,4,7
FESTIVE 400G WHOLE MEAL,7,364.00244115082825,DPL FESTIVE  LIMITED,4,7
BROOKSIDE 1LTR FRESH MILK STANDARD,10,1039.8735035012423,BROOKSIDE DAIRY LIMITED,4,7
NATURES 800G WHITE BREAD,8,832.0130257801901,DPL FESTIVE  LIMITED,4,7
FESTIVE 600G FAMILY BRWN BREAD,8,640.0015841584159,DPL FESTIVE  LIMITED,4,7
BROOKSIDE 1L FARM FRESH MILK,6,624.0,BROOKSIDE DAIRY LIMITED,4,7
BROOKSIDE 1L LACTOSE FREE UHT MILK,6,836.2516924691683,BROOKSIDE DAIRY LIMITED,4,7
FESTIVE 400G FINEST SUPER SEEDED BREAD,7,728.0015053763441,DPL FESTIVE  LIMITED,4,7
FRESHA 5L WHOLE MILK,7,2797.058631921824,GITHUNGURI DAIRY FARMERS,4,7
