sku,qty,est_cost,supplier,lead_time_days,day_generated,arrival_day
KRACKLES PERFECTLY SALTED 30G,317,10475.29715942029,PROPACK KENYA LTD,2,1,4
SCHWEPPES SODA WATER 500ML PET,298,18039.82778754837,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 500ML SPARKLING WATER,314,17306.974976022084,AQUAMIST LIMITED,2,1,4
BIO 150ML VANILLA YOGHURT,326,30322.135229186155,BIO FOOD PRODUCTS LTD,2,1,4
BROOKSIDE 500ML NATURAL LALA BOTTLE,326,23472.69709321751,BROOKSIDE DAIRY LIMITED,2,1,4
DASANI 500ML MINERAL WATER,272,7308.816056196688,COCA COLA BEVERAGES KENYA LTD,2,1,4
SPRITE 330ML CAN REGULAR,304,23475.809335684888,COCA COLA BEVERAGES KENYA LTD,2,1,4
OLA 40G CHEESE CRUNCH TORTILA CHIPS,286,14739.475728155341,PROPACK KENYA LTD,2,1,4
WRIGLEYS ORBIT 10S PEPPERMINT SF,289,15858.532371134022,RADBONE CLARK LIMITED MARS,2,1,4
PICK N PEEL 250ML MANGO,267,15114.908771201954,KEVIAN KENYA LTD,2,1,4
COCA COLA 300ML,275,8800.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COCA COLA 300ML EMPTY BOTTLE,286,3432.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
OLA 40G MEXICAN CRUNCH TORTILA CHIPS,254,13099.367768595044,PROPACK KENYA LTD,2,1,4
AQUAMIST 1LTR SPARKLING WATER,250,19006.484912652202,AQUAMIST LIMITED,2,1,4
PICK N PEEL 250ML APPLE,253,14403.993360995852,KEVIAN KENYA LTD,2,1,4
KRACKLES POTATO CRISP BBQ30G,268,11700.108359133126,PROPACK KENYA LTD,2,1,4
SPRITE PET 500ML,255,13482.992932000976,COCA COLA BEVERAGES KENYA LTD,2,1,4
KERINGET 18.9LT MINERAL WATER REFIL EMPTY BOTTLE,246,196633.3844143272,COCA COLA BEVERAGES KENYA LTD,2,1,4
WRIGLEYS JUICY FRUIT 10S CLASSIC,247,5269.282154882156,RADBONE CLARK LIMITED MARS,2,1,4
ILARA 500ML MAZIWA LALA,264,19008.0,BROOKSIDE DAIRY LIMITED,2,1,4
PICK N PEEL 250ML TROPICAL MIX,234,13253.859574468084,KEVIAN KENYA LTD,2,1,4
KRACKLES CHEESE & ONION 30G,254,11259.09984007311,PROPACK KENYA LTD,2,1,4
KERINGET 1LT SPARKLING MINERAL WATER,233,19632.841170250267,COCA COLA BEVERAGES KENYA LTD,2,1,4
SPRITE PET 350ML,214,8325.5161813136,COCA COLA BEVERAGES KENYA LTD,2,1,4
MAYERS 1L SPARKLING WATER PLASTIC,219,16860.10024263432,MALACHITE LIMITED,2,1,4
TUSKER LITE 500ML CAN,235,48611.40676898223,KENYA BREWERIES LTD,2,1,4
BALOZI 500ML CAN,233,38311.94205566761,KENYA BREWERIES LTD,2,1,4
FANTA ORANGE PET 350ML,224,8723.971700394219,COCA COLA BEVERAGES KENYA LTD,2,1,4
ISINYA 6S EGGS,229,22936.292004244788,ISINYA FEEDS LIMITED,2,1,4
GUINNESS 500ML CAN,200,36590.60932957258,KENYA BREWERIES LTD,2,1,4
KRACKLES BANG BANG CHILLI 30G,200,8815.87878787879,PROPACK KENYA LTD,2,1,4
VELVEX 100S WHITE SERVIETTES,218,20264.47711221554,CHANDARIA INDUSTRIES  LTD,2,1,4
WRIGLEYS P.K 10S CHEWING GUM PEPPERMINT,207,4417.112732840011,RADBONE CLARK LIMITED MARS,2,1,4
PICK N PEEL 250ML ORANGE JUICE,205,15522.554604932062,KEVIAN KENYA LTD,2,1,4
SCHWEPPES TONIC WATER 500ML PET,202,12263.016680707668,COCA COLA BEVERAGES KENYA LTD,2,1,4
ISINYA 30S EGGS,204,88337.38270509978,ISINYA FEEDS LIMITED,2,1,4
WRIGLEYS ORBIT 10S BUBBLEMINT SF,188,10336.682666666666,RADBONE CLARK LIMITED MARS,2,1,4
COKE ZERO SUGAR 300ML,189,6048.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
COKE ZERO SUGAR 300ML EMPTY BOTTLE,199,2388.0,COCA COLA BEVERAGES KENYA LTD,2,1,4
MAYERS 1LT SPRING MINERAL WATER,175,9860.007084661709,MALACHITE LIMITED,2,1,4
WRIGLEYS P.K 10S CHEWING GUM MENTHOL,186,3963.2822622107974,RADBONE CLARK LIMITED MARS,2,1,4
KRACKLES SALT&VINEGAR 30GM,195,8452.556244464127,PROPACK KENYA LTD,2,1,4
COKE PET 2LTS,202,26602.596645903213,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 1L ORANGE JUICE,176,46002.195429064246,KEVIAN KENYA LTD,2,1,4
COKE 1.25L PET,191,19529.896635086574,COCA COLA BEVERAGES KENYA LTD,2,1,4
KERINGET 1LT MINERAL WATER,187,12995.276103500762,COCA COLA BEVERAGES KENYA LTD,2,1,4
PREDATOR 400ML ENERGY DRINK PET,180,9067.028153310106,COCA COLA BEVERAGES KENYA LTD,2,1,4
PILSNER 500ML LAGER BEER,171,28591.200000000004,KENYA BREWERIES LTD,2,1,4
BIO 150ML NATURAL YOGHURT,203,18739.22,BIO FOOD PRODUCTS LTD,2,1,4
MAGGI 4G 28S CUBE FORTIFIED,183,15532.247966919365,NESTLE KENYA LTD,2,1,4
DASANI 1L MINERAL WATER,182,8407.828032683849,COCA COLA BEVERAGES KENYA LTD,2,1,4
FANTA ORANGE PET 500ML,189,9988.59880239521,COCA COLA BEVERAGES KENYA LTD,2,1,4
PICK N PEEL 250ML PINEAPPLE JUICE,166,9376.769975447212,KEVIAN KENYA LTD,2,1,4
BALOZI 500ML BEER,162,26936.316986301365,KENYA BREWERIES LTD,2,1,4
AQUAMIST 20LT MINERAL WATER EMPTY BOTTLE,162,123774.49618988133,AQUAMIST LIMITED,2,1,4
BIO 150ML STRAWBERRY YOGHURT,190,17969.684577403426,BIO FOOD PRODUCTS LTD,2,1,4
MENENGAI CREAM 1KG SOAP,165,27059.827770204487,MENENGAI O REFINERIES LTD,2,1,4
SUNLIGHT 175G PURE SOAP YELLOW,165,9403.7997997998,UNILEVER KENYA LIMITED,2,1,4
KIRICHWA 2KG ICE CUBES,144,23040.0,KIRICHWA WATER LIMITED,2,1,4
DUNHILL 20S DOUBLE CAP,149,56024.0,NOBLE OUTLOOK LIMITED,2,1,4
URBAN STIX 35G BARBEQUE SNACKS,156,4368.0,NORDA INDUSTRIES LTD.,2,1,4
MAYERS 500ML SPARKLING WATER PLASTIC,154,9157.895750708216,MALACHITE LIMITED,2,1,4
FANTA BLACKCURRANT PET 500ML,162,8576.06801727001,COCA COLA BEVERAGES KENYA LTD,2,1,4
AQUAMIST 1LT MINERAL WATER,143,8753.58362706083,AQUAMIST LIMITED,2,1,4
KCC 500ML FILPACK MALA,170,8823.46716348393,NEW KENYA COOP CREAMERIES  LTD,2,1,4
TENA 10S WHITE TOILET ROLLS,147,52999.83942573164,AFRICAN COTTON INDUSTRIES LTD,2,1,4
HANAN 10PK TISSUE PAPER,144,50851.74723127036,ZENKO KENYA LIMITED,2,1,4
DL 37G FILLED CHOCOLATES MINT CHOC,151,8417.508190415132,GLACIER PRODUCTS LTD 2ND,2,1,4
VELVEX SNOW WHITE 10 PACK,161,58890.74027149321,CHANDARIA INDUSTRIES  LTD,2,1,4
ISINYA 15S EGGS,156,38714.395372332416,ISINYA FEEDS LIMITED,2,1,4
BROOKSIDE 500ML SWEET LALA BOTTLE,159,12084.044647244647,BROOKSIDE DAIRY LIMITED,2,1,4
